feature,schemas_with_feature,compile_error_schemas_with_feature,compile_error_rate_with_feature,compile_error_rate_without_feature,lift
has_patternProperties,119,66,0.554622,0.132629,4.18175
has_not,20,11,0.55,0.155851,3.529
has_minProperties,29,10,0.344828,0.157191,2.19369
has_allOf,42,14,0.333333,0.156092,2.13549
has_additionalProperties,852,178,0.20892,0.117405,1.77949
has_oneOf,182,48,0.263736,0.14869,1.77373
has_required,1365,245,0.179487,0.10262,1.74905
has_boolean_schema,825,171,0.207273,0.121242,1.70957
has_maximum,111,28,0.252252,0.154206,1.63582
deep_schema,338,78,0.230769,0.144108,1.60137
has_pattern,512,110,0.214844,0.138825,1.54758
has_anyOf,92,21,0.228261,0.156557,1.45801
has_default,485,100,0.206186,0.143498,1.43686
has_enum,808,151,0.186881,0.138916,1.34528
has_maxLength,252,51,0.202381,0.153405,1.31926
has_ref,442,82,0.18552,0.152064,1.22002
has_defs,471,86,0.18259,0.152367,1.19836
large_enum,267,48,0.179775,0.156812,1.14644
has_minLength,313,56,0.178914,0.156291,1.14474
many_properties,1268,211,0.166404,0.145946,1.14017
has_items,990,166,0.167677,0.151261,1.10853
has_minItems,227,39,0.171806,0.158521,1.0838
has_maxItems,90,15,0.166667,0.159838,1.04272
has_minimum,302,45,0.149007,0.162393,0.917567
many_required,827,124,0.14994,0.168675,0.888927
